product_name,body_content,product_category,tags,seo_title,seo_description,image_url,image_alt_text,expected_result
Lululemon Everywhere Belt Bag,"Hands-free. Always ready. Built for people who move between the gym, errands, and everything in between. 1L capacity. Water-repellent fabric. Adjustable strap. Internal zip pocket. Available in 12 colors. Shop the Everywhere Belt Bag now.",Accessories,"belt bag,crossbody,gym bag",Everywhere Belt Bag - Lululemon,The Lululemon Everywhere Belt Bag holds your essentials hands-free.,https://cdn.lululemon.com/everywhere-belt-bag.jpg,Lululemon Everywhere Belt Bag in black worn crossbody,PASS
Lululemon Align High-Rise Pant,"Nothing feels like Align. Designed for women who want maximum comfort during yoga, pilates, or low-impact movement. Nulu fabric is buttery-soft. 28-inch inseam. Four-way stretch. Hidden waistband pocket. 30 colors, sizes 0-20. Add to bag and feel the difference.",Womens Pants,"yoga pants,align,high rise",Align High-Rise Pant 28 - Lululemon,"The Lululemon Align Pant in Nulu fabric. Buttery-soft, weightless, four-way stretch.",https://cdn.lululemon.com/align-pant.jpg,Lululemon Align High-Rise Pant in soft sand,PASS
Lululemon Surge Short 6 Inch,Built to run faster. For men who train hard and need a short that keeps up with every interval. Swift fabric wicks sweat fast. 6-inch inseam. Built-in liner. Back zip pocket. Reflective details. Shop the Surge Short today.,Mens Running,"running shorts,mens,swift fabric",Surge Short 6 Inch - Lululemon,"Lululemon Surge Short with Swift fabric, 6-inch inseam, and built-in liner.",https://cdn.lululemon.com/surge-short.jpg,Lululemon Surge Short in black,PASS
Lululemon Define Jacket Nulu,"Fits like a second skin. Made for women who want a jacket that moves with them through studio classes and errands. Nulu fabric, four-way stretch, thumbholes, front zip pockets, 15 colors, machine washable. Add to bag.",Womens Jackets,"define jacket,nulu,studio",Define Jacket Nulu - Lululemon,"The Lululemon Define Jacket in Nulu fabric. Fitted silhouette, four-way stretch, thumbholes.",https://cdn.lululemon.com/define-jacket.jpg,Lululemon Define Jacket Nulu in heathered white,PASS
Lululemon Fast and Free Tight 25 Inch,Zero distractions. All run. For women who want a tight that disappears during long runs. Nulux fabric. 25-inch inseam. Waistband pocket fits a phone. Side drop-in pockets. Reflective details. Shop now.,Womens Running,"running tights,nulux,fast and free",Fast and Free Tight 25 Inch - Lululemon,"Lululemon Fast and Free Tight with Nulux fabric, phone pocket, and reflective details.",https://cdn.lululemon.com/fast-free-tight.jpg,Lululemon Fast and Free Tight in true navy,PASS
Lululemon Metal Vent Tech Polo,When you step onto the course you want to feel confident and cool and ready to perform and the Metal Vent Tech Polo is made with our sweat-wicking Anti-Stink technology that keeps you fresh through 18 holes and the fabric has ventilation built in and it is stretchy enough that your swing stays unrestricted and it comes in classic colors that work on and off the course.,Mens Golf,"polo,golf,metal vent tech",,,https://cdn.lululemon.com/metal-vent-polo.jpg,,PARTIAL
Lululemon Wunder Train Tight,The Wunder Train Tight is our most versatile training tight. Everlux fabric dries fast and feels smooth against skin during high-intensity workouts. Available in 25 and 28 inch inseam. Side pockets. Comes in ten colors.,Womens Training,"training tight,everlux,wunder train",Wunder Train High-Rise Tight - Lululemon,"Lululemon Wunder Train Tight in Everlux fabric. Fast-drying, smooth, built for high-intensity training.",https://cdn.lululemon.com/wunder-train-tight.jpg,Lululemon Wunder Train Tight in camo,PARTIAL
Lululemon City Sleek 5 Pocket Pant,"From the office to the weekend without changing. The City Sleek Pant has a tailored look and technical feel, with four-way stretch and a slim straight leg. Five pockets including a hidden zip. Machine washable. The kind of pant that makes getting dressed easy.",Mens Pants,"city sleek,work pant,mens",City Sleek 5 Pocket Pant - Lululemon,"The Lululemon City Sleek Pant with four-way stretch and tailored fit. Five pockets, machine washable.",https://cdn.lululemon.com/city-sleek-pant.jpg,,PARTIAL
Lululemon Hotty Hot Short 4 Inch,Cool. Light. Ready for anything. This is our most popular running short for women and it has a built-in liner and side pockets and it comes in a 4 inch inseam and it is made from Swift fabric which is sweat-wicking and the waistband sits high and it has a back zip pocket too and you can get it in over 20 colors right now.,Womens Running,"running shorts,hotty hot,swift",Hotty Hot High-Rise Short 4 Inch - Lululemon,"Lululemon Hotty Hot Short in Swift fabric. Built-in liner, high-rise waistband, back zip pocket.",https://cdn.lululemon.com/hotty-hot-short.jpg,Lululemon Hotty Hot Short in waterfall blue,PARTIAL
Lululemon Rain Rebel Jacket,Stay out longer. The Rain Rebel Jacket is built for runners and commuters who refuse to let weather slow them down. Waterproof shell. Packable hood. Reflective details for visibility after dark. Stashes into its own pocket.,Outerwear,"rain jacket,running,waterproof",Rain Rebel Jacket - Lululemon,"Lululemon Rain Rebel Jacket with waterproof shell, packable hood, and reflective details.",https://cdn.lululemon.com/rain-rebel-jacket.jpg,Lululemon Rain Rebel Jacket in black,PARTIAL
Lululemon Scuba Oversized Hoodie,"This one is different. Our most-loved fleece, now in an oversized fit that works as hard as you do. Soft. Warm. The kind of thing you reach for every single day. Available in limited seasonal colors.",Womens Fleece,"hoodie,scuba,fleece",Scuba Oversized Half-Zip Hoodie - Lululemon,The Lululemon Scuba Oversized Hoodie in soft fleece fabric. Limited seasonal colors.,https://cdn.lululemon.com/scuba-hoodie.jpg,Lululemon Scuba Oversized Hoodie in opal,FAIL
Lululemon ABC Pant Classic,The ABC Pant Classic from Lululemon uses Warpstreme fabric which is a four-way stretch wrinkle-resistant machine-washable material that has been engineered for performance and the pant has a straight leg silhouette and an internal waistband and it is available in multiple colors and the technology inside is what makes it different from other pants on the market.,Mens Pants,"abc pant,mens,warpstreme",ABC Pant Classic - Lululemon,"The Lululemon ABC Pant with Warpstreme fabric. Four-way stretch, wrinkle-resistant, machine washable.",https://cdn.lululemon.com/abc-pant.jpg,Lululemon ABC Pant Classic in heathered black,FAIL
Lululemon Swiftly Tech Long Sleeve,It just works. Swiftly Tech has been our go-to run top since the beginning and there is a reason for that and when you put it on you will understand why so many people come back for more colors every season and it is available now.,Womens Running,"run top,swiftly tech,long sleeve",,,,,FAIL
Lululemon Komissar Puffer,Warmth without the bulk. Designed to move with you on cold-weather runs and commutes. Duck down fill. Water-repellent shell. Packable into the chest pocket. This is the one you will reach for all winter.,Outerwear,"puffer,down jacket,winter",,,,,PARTIAL
Lululemon Invigorate High-Rise Tight,The Invigorate Tight. Four-way stretch. Luon fabric. High rise. 25 inch. This product is designed for training and yoga and studio use and other activities where you want to feel supported and comfortable throughout your workout session and recovery period.,Womens Training,"training tight,luon,invigorate",Invigorate High-Rise Tight 25 Inch - Lululemon,"Lululemon Invigorate Tight in Luon fabric. Four-way stretch, high-rise waistband.",https://cdn.lululemon.com/invigorate-tight.jpg,Lululemon Invigorate High-Rise Tight in black,PARTIAL
Lululemon Hotty Hot Short,"Built for Speed and Hot Weather. Designed for women who run hard in warm conditions. Swift fabric wicks sweat fast. 2.5-inch inseam. Built-in liner. Side drop-in pocket. Reflective details. Shop the Hotty Hot Short today.",Womens Running,"running shorts,hotty hot,swift fabric",Hotty Hot Short 2.5 Inch - Lululemon,"The Lululemon Hotty Hot Short in Swift fabric. Lightweight, sweat-wicking, built-in liner.",https://cdn.lululemon.com/hotty-hot-short.jpg,Lululemon Hotty Hot Short in solar orange,
Lululemon City Adventurer Backpack,"Adventure Starts at Your Door. Built for commuters and weekend explorers who want one bag that does it all. 20L capacity. Laptop sleeve fits up to 15 inches. Water bottle pocket. Mesh back panel for airflow. Add to bag and go.",Accessories,"backpack,commuter,city adventurer",City Adventurer Backpack 20L - Lululemon,"The Lululemon City Adventurer Backpack. 20L capacity, laptop sleeve, water bottle pocket.",https://cdn.lululemon.com/city-adventurer-backpack.jpg,Lululemon City Adventurer Backpack in black,
Lululemon Metal Vent Tech Shirt,"Cool-to-the-touch performance tee. For men who train hard and want a shirt that disappears on the run. Metal Vent Tech fabric. Sweat-wicking. Four-way stretch. Relaxed fit. Anti-stink technology. Shop the Metal Vent Tech Shirt now.",Mens Training,"run shirt,metal vent tech,mens",Metal Vent Tech Short Sleeve Shirt - Lululemon,"Lululemon Metal Vent Tech Shirt. Cool-to-the-touch fabric, sweat-wicking, anti-stink.",https://cdn.lululemon.com/metal-vent-tech-shirt.jpg,Lululemon Metal Vent Tech Shirt in white,
